Danny Amendola,9.26,6.32,10.49,3.79,10.78,13.13,9.5,11.13,5.45,5.13,7.75,3.91,7.27,9.18,0,5.1
DeSean Jackson,9.9,12.03,13.1,13.97,16.84,11.48,12.01,14.5,4.71,6.2,7.6,7.79,9.96,6.05,6.77,9.38
Tyrell Williams,8.61,13.56,8.5,,,,,,6.78,6.41,8.5,,,,,
Jordy Nelson,9.8,19.04,,20.49,16.53,13.79,17.77,6.83,7.1,8.3,,9.39,7.26,11.01,10.22,5.63
Kelvin Benjamin,9.66,12.32,,14.11,,,,,5.21,7.59,,7.41,,,,
Keelan Cole,8.3,,,,,,,,8.1,,,,,,,
Martavis Bryant,8.7,,15.47,13.01,,,,,4.69,,9.33,8.29,,,,
DeVante Parker,10,10.29,11.68,,,,,,5.72,6.07,6.57,,,,,
Adam Humphries,8.04,8.73,5.36,,,,,,4.61,5.88,3.7,,,,,
Kendall Wright,9.03,8.19,9.65,11.99,13.37,9.93,,,5.02,7.94,6.87,7.32,6.22,3.55,,
Ryan Grant,7.89,1.51,5.15,2.76,,5.52,7.85,4.5,4.34,1.78,4.2,4.03,,9.45,6.2,0
Brandon LaFell,7.8,11.63,8.13,14.04,9.55,10.71,7.21,6.91,4.46,7.57,3.6,8.2,6.36,6.01,5.22,4.91
Travis Benjamin,7.77,9.46,11.99,4.28,3,5.37,,,6.47,7.61,7.21,5.3,3.14,4.16,,
Josh Doctson,7.99,4.3,,,,,,,3.72,2.4,,,,,,
Tyler Lockett,7.39,8.86,10.23,,,,,,5.7,7.49,7.86,,,,,
Eric Decker,7.27,13.47,16.85,13.35,17.49,16.84,9.46,1.47,3.95,8.46,3.28,8.53,12.38,8.16,8.03,3.1
Albert Wilson,8.92,5.85,7.89,6,,,,,6.08,5.68,4.57,4.66,,,,
